lon,lat,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
116.40774,39.91508,423,3,166,2.84,1,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.46343,39.93485,1503,7,1,0.08,1,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45362,39.95108,591,2,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.55588,39.82466,201,2,3,0.14,1,321,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
116.4503,39.89394,859,1,75,1.29,9,357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.56393,39.98926,235,1,0,0.0,1,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.42445,39.98184000000001,1342,7,0,0.0,1,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.37138,39.87509,698,2,38,0.98,1,176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116.5776,39.91005,336,1,17,0.31,7,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.57295,39.90892,336,1,6,0.12,7,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.44703,40.44715,1503,2,28,0.49,2,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116.29498,40.04543,302,1,7,0.13,1,364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116.58759,39.92102,986,2,1,0.02,2,190,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.456,39.92316,617,30,0,0.0,98,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.50636000000002,39.9234,268,1,26,0.47,1,320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.46043,39.8853,403,1,1,0.12,1,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
